% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=588701, Wed Jan 17 15:43:33 2024, <python>{}</python>
1 11 0.0009390528505803517 1.0000458343836967 0.08484302461147308 8.4843024611473083e-02 0.09120608866214752 0.09362860769033432   
2 22 0.0008878206672930302 1.1485568125791918 0.08484302461147308 8.5975825786590576e-02 0.08829881250858307 0.09198514372110367   
3 33 0.0008827600172054217 1.196555593983189 0.08484302461147308 8.5398599505424500e-02 0.0882449522614479 0.09408161044120789   
4 44 0.0009029426137124783 1.2781574662155097 0.08475098013877869 8.4750980138778687e-02 0.0875563696026802 0.09329356253147125   
5 55 0.0008536234450100833 1.3125930794327894 0.08475098013877869 8.5194595158100128e-02 0.08855780214071274 0.09746641665697098   
6 66 0.0008134962778269021 1.3805357260426903 0.08475098013877869 8.6004436016082764e-02 0.08841579407453537 0.0894559919834137   
7 77 0.0007775289228919077 1.394313934385732 0.08474690467119217 8.4746904671192169e-02 0.08645445108413696 0.09318984299898148   
8 88 0.0007462055799792605 1.4359983718759444 0.08474690467119217 8.5164971649646759e-02 0.08626983314752579 0.08897171169519424   
9 99 0.0007508799227876415 1.4670223871469827 0.08414159715175629 8.4141597151756287e-02 0.08592995256185532 0.09191162884235382   
10 110 0.0007451090946713496 1.5435363032510838 0.08391852676868439 8.3918526768684387e-02 0.08529240638017654 0.08796796947717667   
11 121 0.0007465404022545737 1.614901329872437 0.08391852676868439 8.4748156368732452e-02 0.0866326168179512 0.08999209851026535   
