% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=588701, Wed Jan 17 15:43:33 2024, <python>{}</python>
1 11 0.0009390528505803517 0 0 0.0009396146964617875 0.0009705768235696782 0.0009336297232348708 0.0009311933849075208 0.0009202365313393896 0.000949931296654076 0.0009322194042236628 0.0009193183164562239 0.0009220976252344065 0.0009350632646802819 0.0009401082679150949 0.0009267504676321993
2 22 0.0008878206672930302 0 0 0.0008800231556750213 0.0009071820725227822 0.0009062002617142047 0.0008784737292123824 0.000856974032413683 0.0008936359214591827 0.000877266929035984 0.000832772537662786 0.0008528742682470853 0.0008849119154837274 0.0008874308182271544 0.0008820828240948052
3 33 0.0008827600172054217 0 0 0.000898829985553552 0.0009190759687822588 0.000911421810011648 0.0008656302138062053 0.0008439775805147053 0.00089004852038593 0.000848730528252957 0.0008032903376110796 0.0008561639906467287 0.0008927700251442338 0.0008760263382122847 0.0008669219282506994
4 44 0.0009029426137124783 0 0 0.0009149186917893713 0.0009425641169188467 0.0009381669332164886 0.0008759036880902124 0.000889396386936221 0.0008976680732945743 0.0008696510673953801 0.0008002089708328146 0.0008694722557745591 0.0009146697598297043 0.0009038418597492562 0.0008903272750751303
5 55 0.0008536234450100833 0 0 0.0008530986678505029 0.0008907489238808909 0.0008805591396684183 0.0008045341312005389 0.0008433495555229804 0.0008416187577118556 0.0008120036116472324 0.0007363043152268392 0.0008199089937903622 0.0008604614461445066 0.0008618763163398728 0.0008475152130765171
6 66 0.0008134962778269021 0 0 0.0008090209707738589 0.0008481175615686978 0.0008448477083667048 0.0007681716306347249 0.0008083729605128373 0.0008052086492095214 0.0007596341404522966 0.0006951181364428813 0.0007751598439555799 0.0007949672404680444 0.0008201372533287035 0.0008041958188516294
7 77 0.0007775289228919077 0 0 0.0007814349625769858 0.0008038739133378706 0.0008155908015689526 0.0007393199522873942 0.0007789263143298059 0.000751588022675947 0.0006797958967664095 0.0006525081342963011 0.0007325877076956252 0.0007535506565642324 0.0007910974442662957 0.000779362386242211
8 88 0.0007462055799792605 0 0 0.000741268806064039 0.0007690060292736223 0.0007844823897344568 0.0007184865973454972 0.0007492017904385637 0.000714109867910967 0.0006384205061282176 0.0006258929200439022 0.0006897391838984435 0.00072450267409516 0.0007748993129061215 0.0007360403845996899
9 99 0.0007508799227876415 0 0 0.0007107546020191549 0.0007702248276456646 0.0008051951462657839 0.0007236262689831524 0.0007627672264337508 0.000720660385482665 0.0006261479262701206 0.0006198131921434835 0.0006974828258547266 0.0007203745765270484 0.0008190633198795544 0.0007362462076098007
10 110 0.0007451090946713496 0 0 0.0006976737092482283 0.0007408490201612206 0.0007994530105535026 0.0007129096362798054 0.0007512484346748358 0.0007417074603808158 0.0006152900930750426 0.0006108141996906645 0.0006927241093022928 0.0007245663885164789 0.0008253843545249895 0.0007293225409274198
11 121 0.0007465404022545737 0 0 0.0007151476365110642 0.0007478097365756751 0.0008103486667601194 0.000726924972798868 0.0007454165270654847 0.0007455289477134595 0.0005753432177088624 0.000597775249889153 0.0006905812233472614 0.0007305405792103929 0.0008534967672609726 0.00073276380650548
